"","diNT","Freq","Rho","Z"
"1","aa",151.470716737751,1.0572415813424,1.01119137508095
"2","ac",75.1781961926558,0.912136808842253,-1.06926022173388
"3","ag",92.5229376885468,0.875139472389715,-1.78355017687169
"4","at",129.914750858213,1.10847786853216,1.65869242594523
"5","ca",112.930978882763,1.37080735331743,4.52232140355744
"6","cc",52.226880266306,1.10227580936548,0.858852434899345
"7","cg",23.8030271507334,0.391432004468591,-6.02148159975285
"8","ct",68.7769686882347,1.01970387872346,0.210757805765305
"9","ga",102.482783730365,0.969417276438864,-0.437721442805751
"10","gc",53.4309788827629,0.878952355852647,-1.20160448933985
"11","gg",98.2884635389577,1.25896106035485,2.99748239234159
"12","gt",76.3501508374077,0.882223751973555,-1.46150743138831
"13","ta",80.3948299178196,0.685787557869056,-4.80447328234823
"14","tc",77.5896182253199,1.15027426896068,1.59466121902461
"15","tg",117.030011442838,1.35242271166868,4.36957293219216
"16","tt",92.583896806408,0.964574123559721,-0.467722992978814
