"","diNT","Freq","Rho","Z"
"1","aa",29.0548561151079,1.18379290010192,1.28085713995388
"2","ac",38.466726618705,1.01541296062577,0.13026853322806
"3","ag",25.193345323741,0.914398798086802,-0.594721661073095
"4","at",36.1007194244604,0.917750853564392,-0.790022078715976
"5","ca",49.0017985611511,1.3159597189574,2.88477784187134
"6","cc",57.6744604316547,1.05721879135675,0.655329941047417
"7","cg",17.3938848920863,0.455243447072424,-5.08807097451499
"8","ct",64.318345323741,1.10271677283744,1.27138735654845
"9","ga",24.6025179856115,0.89849662949347,-0.718934604561603
"10","gc",28.6160071942446,0.75616048702972,-2.27582408450142
"11","gg",42.1447841726619,1.53217412398296,3.9167819147921
"12","gt",39.216726618705,0.947420922019849,-0.509641668169382
"13","ta",26.2562949640288,0.639648190520446,-3.43365647912497
"14","tc",63.9343525179856,1.10436363031414,1.30011565555112
"15","tg",49.818345323741,1.22112626087442,2.13978238902467
"16","tt",62.3345323741007,0.99003540420223,-0.124120669738278
