"","diNT","Freq","Rho","Z"
"1","aa",45.3329022245215,0.79132844447491,-2.37670311418102
"2","ac",53.1081220900155,1.03437244326044,0.343959810536999
"3","ag",61.0406104500776,1.22386090681802,2.33631092005751
"4","at",47.7553026383859,0.991946859005671,-0.0795338329585452
"5","ca",72.8817899637869,1.40309309954109,4.27532762225934
"6","cc",49.9612002069322,1.02346811920444,0.269593119548944
"7","cg",25.1218313502328,0.551855597721821,-4.36823864900777
"8","ct",42.5680289705122,0.970640950224032,-0.291255209893929
"9","ga",50.9870667356441,1.02839579737851,0.305087096465745
"10","gc",47.7232281427832,1.05081325332922,0.48777690341966
"11","gg",43.480341438179,0.983869049804318,-0.169621342817203
"12","gt",39.8639420589757,0.938635741421348,-0.575569817332088
"13","ta",38.0183652353854,0.796080066290967,-2.06592115643922
"14","tc",38.8991205380238,0.86778026759367,-1.26071203317923
"15","tg",51.6606311433006,1.2250692608127,2.09745449155642
"16","tt",45.1885669943094,1.11442222439736,1.05903638335718
