"","diNT","Freq","Rho","Z"
"1","aa",154.182065217391,0.992000200285684,-0.147095360204272
"2","ac",113.281702898551,1.22039713745154,2.8755315614667
"3","ag",81.4130434782609,0.894687510916013,-1.35776201259574
"4","at",134.481884057971,0.929126856501031,-1.24034481093709
"5","ca",119.629528985507,1.28893160812382,3.76948704790168
"6","cc",70.4664855072464,1.27037464866721,2.49845073827543
"7","cg",15.2916666666667,0.281074182677521,-6.56560579586058
"8","ct",83.9963768115942,0.970523721344602,-0.364946518312958
"9","ga",66.3804347826087,0.729659970799358,-3.48489612609821
"10","gc",54.4048913043478,1.00022933145981,0.00239666043791208
"11","gg",82.1567028985507,1.54218615102262,4.89150944051658
"12","gt",80.6403985507246,0.951188872898165,-0.598059402247675
"13","ta",143.127717391304,0.988604446344447,-0.199313513988746
"14","tc",51.25,0.592341066494868,-5.05482382753403
"15","tg",104.732789855072,1.23536445996589,2.88275375224271
"16","tt",152.132246376812,1.12779568147875,2.12572893648318
