"","diNT","Freq","Rho","Z"
"1","aa",216.003541039057,1.03245759977811,0.728886488164331
"2","ac",105.684319010623,0.947414298070352,-0.766612592741376
"3","ag",124.667512287934,0.944843578726289,-0.896007571618807
"4","at",148.772792135722,1.04311772495002,0.736780105917543
"5","ca",147.180804397231,1.31969019159653,4.67143606505682
"6","cc",63.4955340626817,1.06732257376813,0.639418294866207
"7","cg",26.2297975794091,0.372551838352868,-6.64898788992251
"8","ct",80.3499286507056,1.05589931402955,0.624956069452555
"9","ga",128.446382326516,0.973817964433363,-0.429530977924031
"10","gc",64.7930870461392,0.920770903876005,-0.841528248902629
"11","gg",103.788541831827,1.24665361813352,2.90155144015137
"12","gt",79.2595000264257,0.88093991203124,-1.47730778016419
"13","ta",102.713070133714,0.719969596182834,-4.78068106700271
"14","tc",83.1296971618836,1.09263107492888,1.03305402498062
"15","tg",121.576079488399,1.35084126227955,4.3464310178759
"16","tt",98.3211775276148,1.01007114092189,0.135043359149786
