"","diNT","Freq","Rho","Z"
"1","aa",63.1676602086438,0.963118356759581,-0.415053910025698
"2","ac",68.4254843517139,1.12391336759166,1.32125900643868
"3","ag",49.2228017883756,0.837599903316597,-1.69033390596226
"4","at",60.5104321907601,1.06942346129717,0.70556436156146
"5","ca",75.6974664679583,1.24511213182354,2.6096566866633
"6","cc",63.6885245901639,1.12597210967448,1.27409103761778
"7","cg",41.3718330849478,0.75943225154794,-2.38069835544409
"8","ct",44.0372578241431,0.837920249218634,-1.56273713815836
"9","ga",63.672131147541,1.08459708812854,0.881737444122685
"10","gc",49.3353204172876,0.905667643088168,-0.934805418290847
"11","gg",56.7429210134128,1.07626787173797,0.735645779603614
"12","gt",47.4284649776453,0.934764816819111,-0.617948479369631
"13","ta",39.7965722801788,0.701077610880103,-3.0356236302186
"14","tc",43.4716840536513,0.828729476030561,-1.65239855478874
"15","tg",67.8390461997019,1.33799185251371,3.18955590926775
"16","tt",57.0596125186289,1.17063974984608,1.57254980127218
