"","diNT","Freq","Rho","Z"
"1","aa",137.908635794743,0.973868569936663,-0.443193655181454
"2","ac",114.458072590738,0.945756317831856,-0.801396363516542
"3","ag",124.112640801001,1.0227268814896,0.333759058441639
"4","at",134.837296620776,1.05543743794433,0.842774171262166
"5","ca",162.85607008761,1.34520642112804,5.11822116343711
"6","cc",103.057571964956,0.99700007960432,-0.0390655858233865
"7","cg",47.8523153942428,0.458563804417246,-7.20389463707841
"8","ct",123.68085106383,1.13310290113096,1.84081050288849
"9","ga",127.745932415519,1.05240744176501,0.776814600636881
"10","gc",82.622027534418,0.793740740975571,-2.72969761965668
"11","gg",129.673341677096,1.24804455297285,3.28460005721096
"12","gt",99.107634543179,0.904997385906502,-1.31546164717558
"13","ta",82.7884856070088,0.64800369057319,-5.4091203243926
"14","tc",137.306633291615,1.25726459859294,3.56094727277032
"15","tg",137.519399249061,1.25543498622717,3.53665835513916
"16","tt",104.438047559449,0.90547750371226,-1.35221044232185
