"","diNT","Freq","Rho","Z"
"1","aa",134.772123893805,1.13043119265202,2.13684118696058
"2","ac",61.4206700379267,0.867330651333964,-1.53239290756375
"3","ag",95.4955752212389,1.11860944203678,1.53715361452203
"4","at",67.1634007585335,0.797772135544469,-2.59796765191394
"5","ca",74.4908343868521,1.05126999397391,0.588859366251535
"6","cc",73.4130847029077,1.74112349134693,6.00804578609386
"7","cg",2.02465233881163,0.039884595216724,-8.75761611327023
"8","ct",64.1428571428571,1.28133028215016,2.5421439131649
"9","ga",78.9434260429836,0.924673222173794,-0.976145161911361
"10","gc",47.4532237673831,0.935071354896126,-0.59338191275132
"11","gg",75.2853982300885,1.23048676655169,2.37003934198855
"12","gt",56.3817951959545,0.934797278312846,-0.664013658475742
"13","ta",70.6886852085967,0.83956677746379,-2.06114509887272
"14","tc",31.7253476611884,0.633578303675803,-3.31216267735794
"15","tg",85.0110619469027,1.40951862920794,4.16881838016564
"16","tt",66.7278761061947,1.12230281271838,1.23087203615311
