"","diNT","Freq","Rho","Z"
"1","aa",82.1102204408818,1.32739557782409,3.25290003427352
"2","ac",99.312625250501,1.0948835802493,1.21261606482217
"3","ag",50.9739478957916,0.737405033465235,-2.7960544539479
"4","at",81.0260521042084,0.881025524024449,-1.53577800729999
"5","ca",102.815631262525,1.13278207676938,1.69814439251365
"6","cc",136.851703406814,1.02782395611243,0.457744563073854
"7","cg",67.2024048096192,0.664145174486341,-4.60372779834222
"8","ct",153.76753507014,1.13979997455833,2.32302998200821
"9","ga",60.8296593186373,0.88063379318692,-1.27126794345246
"10","gc",90.4268537074148,0.893334835264888,-1.46260445705139
"11","gg",106.77755511022,1.38613189256051,4.40647378917613
"12","gt",92.3607214428858,0.900131635465462,-1.38191410733749
"13","ta",68.0781563126253,0.74028839933192,-3.35327550982316
"14","tc",132.320641282565,0.9806008335786,-0.322270710970841
"15","tg",125.444889779559,1.22254796232345,3.07970512946998
"16","tt",139.5250501002,1.02063194303963,0.347016801452761
